,open_covid_region_code,sub_region_1,date,hospitalized_cumulative,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Burning Chest Pain,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Laryngitis,symptom:Myoclonus,symptom:Polydipsia,symptom:Rectal pain,symptom:Shallow breathing,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia
392,US-NM,New Mexico,2020-03-30,,,,27.73,,,,,,,,,,,,49.42
393,US-NM,New Mexico,2020-04-06,,,,24.65,,,,,,,,,,,,36.87
394,US-NM,New Mexico,2020-04-13,274.0,274.0,,23.21,,,,,,,,,,,,24.8
395,US-NM,New Mexico,2020-04-20,412.0,138.0,,18.09,,,,,,,,,,,,18.69
396,US-NM,New Mexico,2020-04-27,587.0,175.0,,22.26,,,,,,,,,,,,15.72
397,US-NM,New Mexico,2020-05-04,789.0,202.0,,22.98,,,,,,,,,,,,18.01
398,US-NM,New Mexico,2020-05-11,886.0,97.0,,15.51,,,,,,,,,,,,13.86
399,US-NM,New Mexico,2020-05-18,1243.0,357.0,,17.68,,,,,,,,,,,,14.88
400,US-NM,New Mexico,2020-05-25,1317.0,74.0,,21.68,,,,,,,,,,,,15.98
401,US-NM,New Mexico,2020-06-01,1533.0,216.0,,18.67,,,,,,,,,,,,9.98
402,US-NM,New Mexico,2020-06-08,1625.0,92.0,,26.05,,,,,,,,,,,,19.49
403,US-NM,New Mexico,2020-06-15,1746.0,121.0,,22.08,,,,,,,,,,,,13.47
404,US-NM,New Mexico,2020-06-22,1865.0,119.0,,14.53,,,,,,,,,,,,11.45
405,US-NM,New Mexico,2020-06-29,2006.0,141.0,,14.86,,,,,,,,,,,,17.34
406,US-NM,New Mexico,2020-07-06,2204.0,198.0,,24.32,,,,,,,,,,,,24.1
407,US-NM,New Mexico,2020-07-13,2387.0,183.0,,16.92,,,,,,,,,,,,18.66
408,US-NM,New Mexico,2020-07-20,2560.0,173.0,,21.27,,,,,,,,,,,,19.52
409,US-NM,New Mexico,2020-07-27,2720.0,160.0,,21.71,,,,,,,,,,,,13.38
410,US-NM,New Mexico,2020-08-03,2851.0,131.0,,19.22,,,,,,,,,,,,14.04
411,US-NM,New Mexico,2020-08-10,2965.0,114.0,,15.3,,,,,,,,,,,,10.06
412,US-NM,New Mexico,2020-08-17,3031.0,66.0,,18.28,,,,,,,,,,,,15.23
413,US-NM,New Mexico,2020-08-24,3126.0,95.0,,18.93,,,,,,,,,,,,9.67
414,US-NM,New Mexico,2020-08-31,3186.0,60.0,,23.36,,,,,,,,,,,,11.06
415,US-NM,New Mexico,2020-09-07,3267.0,81.0,,18.39,,,,,,,,,,,,16.74
416,US-NM,New Mexico,2020-09-14,3341.0,74.0,,20.36,,,,,,,,,,,,8.96
417,US-NM,New Mexico,2020-09-21,3443.0,102.0,,17.27,,,,,,,,,,,,16.45
418,US-RI,Rhode Island,2020-01-06,,,14.35,17.22,11.36,16.53,15.38,11.71,26.63,12.51,10.67,13.89,7.46,12.4,11.94,15.15
419,US-RI,Rhode Island,2020-01-13,,,11.19,14.5,7.54,18.49,17.92,13.13,26.14,11.87,11.07,12.21,5.59,13.24,11.19,21.35
420,US-RI,Rhode Island,2020-01-20,,,14.92,16.26,6.95,16.15,12.79,10.32,24.9,14.13,11.33,12.11,8.75,13.57,17.94,24.0
421,US-RI,Rhode Island,2020-01-27,,,16.16,17.25,8.03,16.27,11.93,15.41,24.41,14.54,11.72,13.45,9.66,10.74,12.26,25.28
422,US-RI,Rhode Island,2020-02-03,,,13.39,15.98,8.96,18.25,14.79,14.14,27.32,13.06,12.63,13.5,8.42,16.2,15.12,24.83
423,US-RI,Rhode Island,2020-02-10,,,14.24,17.44,6.51,17.22,13.36,14.9,31.68,17.55,8.39,12.26,7.84,8.61,14.68,21.2
424,US-RI,Rhode Island,2020-02-17,,,17.05,18.2,11.29,17.39,15.32,14.05,33.17,11.29,11.52,14.97,8.87,14.63,15.9,21.77
425,US-RI,Rhode Island,2020-02-24,,,13.85,13.96,9.42,14.94,13.42,15.15,25.54,10.93,11.26,14.83,11.9,14.07,12.55,21.32
426,US-RI,Rhode Island,2020-03-02,,,13.94,15.69,8.89,14.81,12.84,21.07,24.91,10.86,10.53,11.85,10.75,11.19,14.26,29.19
427,US-RI,Rhode Island,2020-03-09,,,8.88,14.76,12.21,12.65,15.98,9.65,24.3,11.21,11.88,11.43,18.09,11.1,11.21,36.62
428,US-RI,Rhode Island,2020-03-16,,,10.7,12.03,13.02,20.63,9.71,11.47,20.3,7.83,7.61,12.14,30.89,6.29,9.6,30.23
429,US-RI,Rhode Island,2020-03-23,,,10.41,10.92,16.78,19.21,6.87,21.43,15.16,14.36,7.08,10.41,19.91,9.81,15.16,16.38
430,US-RI,Rhode Island,2020-03-30,,,12.43,9.42,17.84,13.43,7.72,13.73,11.22,9.32,9.22,10.12,20.75,7.72,10.42,17.54
431,US-RI,Rhode Island,2020-04-06,331.0,331.0,12.31,8.61,13.13,13.95,9.44,14.36,8.0,12.2,7.9,13.33,18.87,10.15,13.23,13.95
432,US-RI,Rhode Island,2020-04-13,629.0,298.0,10.81,7.44,14.18,8.63,9.32,10.61,10.31,20.92,12.39,11.3,15.86,9.81,12.79,9.02
433,US-RI,Rhode Island,2020-04-20,718.0,89.0,10.73,7.58,12.31,9.55,8.67,13.89,11.52,15.17,9.06,14.48,11.23,10.64,11.13,11.23
434,US-RI,Rhode Island,2020-04-27,1061.0,343.0,15.49,5.13,13.18,11.06,9.55,16.39,6.84,14.28,10.66,11.16,12.77,13.58,11.06,6.13
435,US-RI,Rhode Island,2020-05-04,1280.0,219.0,10.94,6.79,10.94,9.62,7.19,9.72,7.49,13.87,9.93,11.85,7.39,11.54,11.65,4.46
436,US-RI,Rhode Island,2020-05-11,1438.0,158.0,12.47,7.07,8.62,10.49,10.29,9.66,7.69,15.59,10.49,12.88,12.16,8.62,9.14,4.99
437,US-RI,Rhode Island,2020-05-18,1580.0,142.0,11.68,10.2,13.67,6.0,10.94,8.52,6.84,9.68,5.79,12.73,11.04,11.57,10.62,5.15
438,US-RI,Rhode Island,2020-05-25,1724.0,144.0,6.37,5.31,9.24,5.1,12.42,8.49,7.11,10.94,8.07,12.95,11.04,9.55,11.25,
439,US-RI,Rhode Island,2020-06-01,1807.0,83.0,10.75,6.64,5.8,6.22,8.12,6.96,7.91,9.59,9.38,14.97,6.22,10.65,13.81,
440,US-RI,Rhode Island,2020-06-08,1882.0,75.0,10.29,,10.19,9.65,13.83,12.87,8.15,9.54,10.29,13.4,9.87,10.72,12.87,
441,US-RI,Rhode Island,2020-06-15,1950.0,68.0,6.8,9.93,8.59,9.03,10.48,11.38,8.59,10.15,8.03,12.49,8.03,10.04,11.71,4.8
442,US-RI,Rhode Island,2020-06-22,1995.0,45.0,10.14,8.16,7.61,8.27,15.32,12.35,10.14,12.13,7.72,14.0,7.83,11.58,11.13,
443,US-RI,Rhode Island,2020-06-29,2019.0,24.0,11.56,,8.87,6.85,16.28,8.87,8.2,13.36,10.22,13.25,9.43,9.54,7.3,
444,US-RI,Rhode Island,2020-07-06,2066.0,47.0,12.05,10.74,11.51,9.31,15.56,11.62,10.3,12.49,9.43,14.79,7.01,9.64,11.07,
445,US-RI,Rhode Island,2020-07-13,2110.0,44.0,12.4,9.22,12.29,8.34,13.72,7.9,7.24,11.52,8.23,11.63,9.0,11.96,10.87,
446,US-RI,Rhode Island,2020-07-20,2174.0,64.0,12.58,7.5,8.16,7.83,13.13,12.13,10.48,13.46,9.6,12.58,10.7,10.92,7.83,4.52
447,US-RI,Rhode Island,2020-07-27,2231.0,57.0,12.26,8.1,8.97,9.19,10.94,11.71,8.1,11.82,9.96,14.55,9.85,13.46,9.08,4.38
448,US-RI,Rhode Island,2020-08-03,2311.0,80.0,10.29,7.63,8.07,9.62,16.7,9.62,5.64,12.39,6.3,11.95,10.4,12.61,10.51,
449,US-RI,Rhode Island,2020-08-10,2380.0,69.0,11.08,6.69,9.11,10.64,15.8,11.41,7.35,15.03,13.38,13.93,11.52,10.42,12.51,
450,US-RI,Rhode Island,2020-08-17,2460.0,80.0,10.17,5.2,10.61,6.75,16.25,11.28,10.95,14.48,11.72,15.37,9.51,14.71,14.04,4.42
451,US-RI,Rhode Island,2020-08-24,2519.0,59.0,10.43,5.81,9.25,10.54,14.95,10.22,8.28,14.09,8.71,13.02,9.14,10.43,12.59,4.62
452,US-RI,Rhode Island,2020-08-31,2589.0,70.0,14.2,9.03,9.68,10.65,12.8,11.4,7.85,9.57,10.43,15.16,9.57,13.55,10.22,5.05
453,US-RI,Rhode Island,2020-09-07,2644.0,55.0,12.78,8.17,10.37,12.15,13.4,13.3,11.2,8.06,10.26,14.24,11.83,10.79,12.04,6.49
454,US-RI,Rhode Island,2020-09-14,2693.0,49.0,12.87,8.45,7.54,11.16,13.07,20.42,9.55,11.77,9.05,12.97,7.84,12.97,11.46,
455,US-RI,Rhode Island,2020-09-21,2725.0,32.0,10.57,8.96,8.26,11.58,17.42,20.34,10.27,12.79,11.78,14.6,10.67,14.2,16.21,4.73
456,US-SD,South Dakota,2020-01-06,,,5.63,8.57,7.72,7.1,7.72,7.84,13.47,,5.63,8.33,6.86,,10.04,10.9
457,US-SD,South Dakota,2020-01-13,,,9.0,9.24,5.64,10.8,11.52,9.48,15.72,5.04,6.12,8.28,,6.84,12.0,13.56
458,US-SD,South Dakota,2020-01-20,,,7.53,9.96,6.07,11.17,7.53,9.11,14.09,6.32,5.1,6.07,,5.46,13.96,13.24
459,US-SD,South Dakota,2020-01-27,,,,7.83,5.42,12.28,10.23,9.99,16.98,11.44,9.27,,5.66,,11.2,13.01
460,US-SD,South Dakota,2020-02-03,,,8.16,15.6,6.24,10.92,9.0,11.4,15.47,6.24,7.68,6.84,,8.4,8.88,16.32
461,US-SD,South Dakota,2020-02-10,,,5.2,11.13,,8.54,7.67,9.77,20.16,6.43,5.07,8.66,5.81,5.44,8.16,16.58
462,US-SD,South Dakota,2020-02-17,,,5.25,9.04,,11.73,7.09,10.39,13.32,10.51,,9.04,5.25,7.82,8.31,15.89
463,US-SD,South Dakota,2020-02-24,,,6.56,11.57,,11.81,11.22,7.64,19.45,,5.97,7.04,6.8,5.97,11.45,12.77
464,US-SD,South Dakota,2020-03-02,,,5.15,9.7,,8.98,10.66,9.82,21.68,6.47,5.15,7.18,,5.03,14.49,13.17
465,US-SD,South Dakota,2020-03-09,,,6.02,15.06,7.23,10.0,7.47,5.42,19.39,,,,10.36,7.95,9.28,25.9
466,US-SD,South Dakota,2020-03-16,,,8.1,7.0,11.9,11.54,,10.43,16.2,4.91,,8.71,13.01,7.49,10.31,24.79
467,US-SD,South Dakota,2020-03-23,,,4.76,10.09,12.24,11.67,8.61,20.74,9.86,,4.76,6.01,13.94,6.23,6.23,20.17
